time,x,y,z,clock_bias_m,num_sats,satellites,rms_residual_m,state_vec,lat_deg,lon_deg,alt_m,velocity_mps
2026-03-22 06:46:56.416831+00:00,4437159.746734145,3085246.7364635016,3376431.476696067,-392.9257341499303,5,"E07,E15,E21,E29,E34",26.049614685542036,[ 4.43715975e+06  3.08524674e+06  3.37643148e+06 -3.92925734e+02],32.16869180243287,34.8116688131394,283.83382799476385,7.442566957502346
2026-03-22 06:46:58.416831+00:00,4437174.57895694,3085252.3448211877,3376424.2508880696,-384.6019778983739,5,"E07,E15,E21,E29,E34",27.096512675872255,[ 4.43717458e+06  3.08525234e+06  3.37642425e+06 -3.84601978e+02],32.16856280852809,34.811627860923046,293.0051848916337,8.712933062324849
2026-03-22 06:47:00.416831+00:00,4437168.565985609,3085243.3352680258,3376409.7745528403,-395.2104024039408,5,"E07,E15,E21,E29,E34",30.46214749164244,[ 4.43716857e+06  3.08524334e+06  3.37640977e+06 -3.95210402e+02],32.16850070292754,34.811585830718855,276.76505261287093,9.040079563833816
2026-03-22 06:47:02.416831+00:00,4437187.42559403,3085249.232807529,3376403.728797654,-382.2470171945338,5,"E07,E15,E21,E29,E34",28.460882020279495,[ 4.43718743e+06  3.08524923e+06  3.37640373e+06 -3.82247017e+02],32.168364048981594,34.81152302098736,289.50349051784724,10.332194318754675
2026-03-22 06:47:20.416831+00:00,4437279.85190296,3085216.4141881643,3376330.4783323123,-349.8462405090804,5,"E07,E15,E21,E29,E34",30.381376117114897,[ 4.43727985e+06  3.08521641e+06  3.37633048e+06 -3.49846241e+02],32.16753053121007,34.81067797311033,298.88197407498956,6.80080674050315
2026-03-22 06:47:22.416831+00:00,4437299.727798917,3085214.666887701,3376321.41855032,-338.71645373682674,5,"E07,E15,E21,E29,E34",24.26864660723076,[ 4.43729973e+06  3.08521467e+06  3.37632142e+06 -3.38716454e+02],32.16738781817743,34.810542473387066,307.0281708193943,10.956549967594302
2026-03-22 06:47:24.416831+00:00,4437287.742280625,3085198.5508427867,3376305.763184626,-355.8258199641873,5,"E07,E15,E21,E29,E34",34.95143499853011,[ 4.43728774e+06  3.08519855e+06  3.37630576e+06 -3.55825820e+02],32.167359728135715,34.81047473039538,282.5754433935508,12.732537329906991
2026-03-22 06:47:28.416831+00:00,4437310.0018412,3085182.962907574,3376286.9177304097,-348.36756884356805,5,"E07,E15,E21,E29,E34",32.01004285301824,[ 4.43731000e+06  3.08518296e+06  3.37628692e+06 -3.48367569e+02],32.16717085356202,34.81020433070859,280.48035141732544,8.267492462188024
2026-03-22 06:47:30.416831+00:00,4437338.560385455,3085193.078002782,3376285.1743158894,-326.42195672145846,5,"E07,E15,E21,E29,E34",24.792828548504783,[ 4.43733856e+06  3.08519308e+06  3.37628517e+06 -3.26421957e+02],32.167017253740006,34.81011954013872,304.28876506816596,15.173538605621902
2026-03-22 06:47:32.416831+00:00,4437330.848166001,3085183.4021892375,3376283.245632551,-333.3929743558623,5,"E07,E15,E21,E29,E34",30.145739537274064,[ 4.43733085e+06  3.08518340e+06  3.37628325e+06 -3.33392974e+02],32.16705944844285,34.81008199233399,293.2261724518612,6.261379961316269
