UTC_Time,Lat,Lon,Alt,Velocity (m/s)
2026-03-21 15:15:22,32.168809644060275,34.81400004539207,-37.666038694791496,0.0
2026-03-21 15:15:23,32.168809644060275,34.81400004539207,-37.666038694791496,0.0
2026-03-21 15:15:24,32.168809644060275,34.81400004539207,-37.666038694791496,0.0
2026-03-21 15:15:25,32.16881177994105,34.81396233398122,-43.63307498302311,6.95
2026-03-21 15:15:26,32.16877738232607,34.813958807248476,-46.305437410250306,4.67
2026-03-21 15:15:27,32.16872780708809,34.81394334973712,-47.7667662454769,5.87
2026-03-21 15:15:28,32.16831168699244,34.81324072202632,35.79869466088712,5.87
2026-03-21 15:15:29,32.16758262137246,34.81295290841398,-37.34943960607052,5.87
2026-03-21 15:15:30,32.16717935035406,34.81347296742107,-227.9871802609414,5.87
2026-03-21 15:15:31,32.16717935035406,34.81347296742107,-227.9871802609414,0.0
2026-03-21 15:15:32,32.167513165423834,34.81284625811434,-25.103630248457193,0.0
2026-03-21 15:15:33,32.16758930369971,34.81253642017126,44.96996663976461,0.0
2026-03-21 15:15:34,32.1677436706855,34.812951517244684,112.4717490952462,0.0
2026-03-21 15:15:35,32.16758930369971,34.81253642017126,44.96996663976461,0.0
2026-03-21 15:15:36,32.16784234476665,34.812955315300535,95.0742725469172,0.0
2026-03-21 15:15:37,32.16904609460409,34.812955315300535,179.0325153497979,0.0
2026-03-21 15:15:38,32.168035213674216,34.81307249796466,61.06939690001309,0.0
2026-03-21 15:15:39,32.16829034045233,34.81346424905441,16.088453121483326,0.0
2026-03-21 15:15:40,32.168381262749314,34.813320553600555,0.058290272019803524,23.29
2026-03-21 15:15:41,32.16863997812322,34.8133762607785,9.176107446663082,30.56
2026-03-21 15:15:42,32.16863997812322,34.8133762607785,9.176107446663082,0.0
2026-03-21 15:15:43,32.16863997812322,34.8133762607785,9.176107446663082,0.0
2026-03-21 15:15:44,32.16863997812322,34.8133762607785,9.176107446663082,0.0
2026-03-21 15:15:45,32.16863997812322,34.8133762607785,9.176107446663082,0.0
2026-03-21 15:15:46,32.168743494441905,34.81340050884192,18.274788489565253,14.83
2026-03-21 15:15:47,32.16918251868587,34.81301307994942,110.97845838125795,14.83
2026-03-21 15:15:48,32.169207252260264,34.81293453523599,106.61785171646625,9.02
2026-03-21 15:15:49,32.16897454053044,34.81271924797208,170.1077262442559,9.02
2026-03-21 15:15:50,32.16897578788856,34.81271924797208,170.19472829438746,0.16
2026-03-21 15:15:51,32.169215449521005,34.8129085037146,105.17265054117888,0.16
2026-03-21 15:15:52,32.16894291543159,34.81266744836358,176.20271679013968,0.16
