time,x,y,z,velocity_mps,num_sats,satellites,rms_residual_m,lat_deg,lon_deg,alt_m
2026-03-21 15:15:34.418879+00:00,4436302.776568437,3084817.781837959,3375250.664500376,23.69284873008964,5,"G02,G10,G27,E06,E10",13.600512650795036,32.16423111981544,34.81312195434973,-1147.7018153676763
2026-03-21 15:15:36.418879+00:00,4436311.560761131,3084823.7643775763,3375201.1088319104,25.341256375017853,5,"G10,G27,E02,E06,E10",15.980566368478963,32.16380171679535,34.81312086075559,-1165.086104394868
2026-03-21 15:15:38.418879+00:00,4436315.020266614,3084828.55289412,3375148.655354458,26.39254329225946,5,"G02,G32,E02,E10,E36",25.234465433425527,32.16337444883779,34.81314160587504,-1188.290461349301
2026-03-21 15:15:40.418879+00:00,4436313.013713103,3084832.0407029544,3375094.867191921,26.96923013619257,5,"G27,E02,E06,E10,G10",12.595112642175867,32.162962099775115,34.813184116740835,-1216.632609570399
2026-03-21 15:15:42.418879+00:00,4436306.014859915,3084834.3864003383,3375042.420047951,26.482018204717104,5,"G10,G27,E02,E06,E10",5.0214216938394305,32.16258279703413,34.81324690620516,-1248.2823182232678
2026-03-21 15:15:44.418879+00:00,4436294.408503864,3084835.508185775,3374993.4351673834,25.176796994254047,5,"G02,G10,G32,E02,E10",3.2873060235145837,32.16225144493,34.813326932921804,-1281.8825665935874
2026-03-21 15:15:46.418879+00:00,4436279.099847654,3084835.6087235827,3374949.800792061,23.121006534121715,5,"G10,G27,E02,E06,E10",30.517707661975713,32.1619783381177,34.81342048171051,-1315.701214053668
2026-03-21 15:15:48.418879+00:00,4436261.978783738,3084835.058167686,3374908.9276597695,22.158784289246086,5,"G10,E02,E06,E10,G27",22.160156570788267,32.16173524182596,34.81351933445703,-1349.6242156950757
2026-03-21 15:15:50.418879+00:00,4436241.087911795,3084833.153336884,3374877.192054257,19.021077573204877,5,"G10,G27,E02,E06,E10",3.83912198961739,32.16158048836568,34.81362921917231,-1381.9577633412555
2026-03-21 15:15:52.418879+00:00,4436219.512314101,3084830.680430553,3374850.350183627,17.26345634920054,5,"G10,G27,E02,E06,E10",33.869360011907965,32.161467357583426,34.813738304259545,-1412.4367378801107
2026-03-21 15:15:54.418879+00:00,4436198.533034832,3084827.8989758487,3374827.7788552814,15.470387133064845,5,"G10,G27,E02,E06,E10",33.83690540647838,32.16138533023165,34.813841093942635,-1440.377102327533
2026-03-21 15:15:56.418879+00:00,4436179.195926349,3084825.5181134725,3374808.9890048243,13.533761028986545,5,"G10,G27,E02,E06,E10",34.4816847689301,32.161324605703335,34.81393743036202,-1464.9695749888197
2026-03-21 15:15:58.418879+00:00,4436162.304851642,3084823.6518141697,3374793.547450953,11.480778107273709,5,"G10,G27,E02,E06,E10",32.39592344630038,32.16127839533204,34.81402343908651,-1485.8309597512707
2026-03-21 15:16:00.418879+00:00,4436148.502901102,3084822.4117798815,3374781.107648626,9.311017743370892,5,"G10,G27,E02,E06,E10",11.792507403976185,32.16124121186821,34.81409619916887,-1502.6447790442035
